date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,parval_2_new,lag_median,value_median
2021-11-23,ZA,115,Omicron BA.2,Community,1.1123551271603516,2021-11-08,15,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,115,Omicron BA.2,Community,1.1123551271603518,2021-11-08,15,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,116,Omicron BA.2,Community,1.1525348006419551,2021-11-08,15,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,116,Omicron BA.2,Community,1.1525348006419551,2021-11-08,15,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,116,Omicron BA.2,Community,1.1525348006419551,2021-11-08,15,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,116,Omicron BA.2,Community,1.1525348006419551,2021-11-08,15,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-27,ZA,117,Omicron BA.2,Community,1.1764521103496914,2021-11-08,19,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-27,ZA,117,Omicron BA.2,Community,1.1764521103496914,2021-11-08,19,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-27,ZA,117,Omicron BA.2,Community,1.1764521103496914,2021-11-08,19,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-27,ZA,117,Omicron BA.2,Community,1.1764521103496914,2021-11-08,19,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,118,Omicron BA.2,Community,1.7813129351222157,2021-11-08,14,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,118,Omicron BA.2,Community,1.7813129351222157,2021-11-08,14,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,118,Omicron BA.2,Community,1.7813129351222157,2021-11-08,14,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,118,Omicron BA.2,Community,1.7813129351222157,2021-11-08,14,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,119,Omicron BA.2,Community,1.1269441752697433,2021-11-08,15,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,119,Omicron BA.2,Community,1.1269441752697433,2021-11-08,15,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,119,Omicron BA.2,Community,1.1269441752697433,2021-11-08,15,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,119,Omicron BA.2,Community,1.1269441752697433,2021-11-08,15,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,12,Omicron BA.2,Community,1.1972186473593622,2021-11-08,17,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,12,Omicron BA.2,Community,1.1972186473593622,2021-11-08,17,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,12,Omicron BA.2,Community,1.1972186473593622,2021-11-08,17,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,12,Omicron BA.2,Community,1.1972186473593622,2021-11-08,17,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,120,Omicron BA.2,Community,1.018674097936899,2021-11-08,14,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,120,Omicron BA.2,Community,1.018674097936899,2021-11-08,14,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,120,Omicron BA.2,Community,1.018674097936899,2021-11-08,14,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,120,Omicron BA.2,Community,1.018674097936899,2021-11-08,14,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,121,Omicron BA.2,Community,1.1676021781975567,2021-11-08,15,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,121,Omicron BA.2,Community,1.1676021781975567,2021-11-08,15,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,121,Omicron BA.2,Community,1.1676021781975565,2021-11-08,15,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,121,Omicron BA.2,Community,1.1676021781975567,2021-11-08,15,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
